Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
7.5000000e+01	1.6426772e+00	END	END
7.6000000e+01	1.6580943e+00	END	END
7.7000000e+01	1.6725429e+00	END	END
7.8000000e+01	1.6860059e+00	END	END
7.9000000e+01	1.6984669e+00	END	END
8.0000000e+01	1.7099109e+00	END	END
8.1000000e+01	1.7203240e+00	END	END
8.2000000e+01	1.7296938e+00	END	END
8.3000000e+01	1.7380091e+00	END	END
8.4000000e+01	1.7452600e+00	END	END
8.5000000e+01	1.7514379e+00	END	END
8.6000000e+01	1.7565355e+00	END	END
8.7000000e+01	1.7605469e+00	END	END
8.8000000e+01	1.7634677e+00	END	END
8.9000000e+01	1.7652943e+00	END	END
9.0000000e+01	1.7660251e+00	END	END
9.1000000e+01	1.7656596e+00	END	END
9.2000000e+01	1.7641987e+00	END	END
9.3000000e+01	1.7616445e+00	END	END
9.4000000e+01	1.7580006e+00	END	END
9.5000000e+01	1.7532721e+00	END	END
9.6000000e+01	1.7474651e+00	END	END
9.7000000e+01	1.7405875e+00	END	END
9.8000000e+01	1.7326480e+00	END	END
9.9000000e+01	1.7236571e+00	END	END
1.0000000e+02	1.7136263e+00	END	END
1.0100000e+02	1.7025685e+00	END	END
1.0200000e+02	1.6904980e+00	END	END
1.0300000e+02	1.6774300e+00	END	END
1.0400000e+02	1.6633813e+00	END	END
1.0500000e+02	1.6483699e+00	END	END
1.0600000e+02	1.6324147e+00	END	END
1.0700000e+02	1.6155360e+00	END	END
1.0800000e+02	1.5977553e+00	END	END
1.0900000e+02	1.5790949e+00	END	END
1.1000000e+02	1.5595785e+00	END	END
1.1100000e+02	1.5392308e+00	END	END
1.1200000e+02	1.5180774e+00	END	END
1.1300000e+02	1.4961449e+00	END	END
1.1400000e+02	1.4734610e+00	END	END
1.1500000e+02	1.4500543e+00	END	END
1.1600000e+02	1.4259540e+00	END	END
1.1700000e+02	1.4011905e+00	END	END
1.1800000e+02	1.3757949e+00	END	END
1.1900000e+02	1.3497988e+00	END	END
1.2000000e+02	1.3232349e+00	END	END
1.2100000e+02	1.2961365e+00	END	END
1.2200000e+02	1.2685373e+00	END	END
1.2300000e+02	1.2404717e+00	END	END
1.2400000e+02	1.2119750e+00	END	END
1.2500000e+02	1.1830823e+00	END	END
1.2600000e+02	1.1538299e+00	END	END
1.2700000e+02	1.1242541e+00	END	END
1.2800000e+02	1.0943916e+00	END	END
1.2900000e+02	1.0642794e+00	END	END
1.3000000e+02	1.0339549e+00	END	END
1.3100000e+02	1.0034556e+00	END	END
1.3200000e+02	9.7281933e-01	END	END
1.3300000e+02	9.4208378e-01	END	END
1.3400000e+02	9.1128707e-01	END	END
1.3500000e+02	8.8046700e-01	END	END
1.3600000e+02	8.4966165e-01	END	END
1.3700000e+02	8.1890881e-01	END	END
1.3800000e+02	7.8824627e-01	END	END
1.3900000e+02	7.5771171e-01	END	END
