CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
1.0200000e+02	-2.1946605e-01		
1.0300000e+02	-2.4945872e-01		
1.0400000e+02	-2.7915564e-01		
1.0500000e+02	-3.0851766e-01		
1.0600000e+02	-3.3750588e-01		
1.0700000e+02	-3.6608151e-01		
1.0800000e+02	-3.9420611e-01		
1.0900000e+02	-4.2783958e-01		
1.1000000e+02	-4.5482790e-01		
1.1100000e+02	-4.8125765e-01		
1.1200000e+02	-5.0709200e-01		
1.1300000e+02	-5.3229475e-01		
1.1400000e+02	-5.5683041e-01		
1.1500000e+02	-5.8066410e-01		
1.1600000e+02	-6.0376179e-01		
1.1700000e+02	-6.2609029e-01		
1.1800000e+02	-6.4761728e-01		
1.1900000e+02	-6.6831136e-01		
1.2000000e+02	-6.8814224e-01		
1.2100000e+02	-7.0708066e-01		
1.2200000e+02	-7.2509837e-01		
1.2300000e+02	-7.4216849e-01		
1.2400000e+02	-7.5826520e-01		
1.2500000e+02	-7.7336407e-01		
1.2600000e+02	-7.8744191e-01		
1.2700000e+02	-8.0047703e-01		
1.2800000e+02	-8.1244904e-01		
1.2900000e+02	-8.2333916e-01		
1.3000000e+02	-8.3313006e-01		
1.3100000e+02	-8.4180599e-01		
1.3200000e+02	-8.4935290e-01		
1.3300000e+02	-8.5575819e-01		
1.3400000e+02	-8.6101121e-01		
1.3500000e+02	-8.6510301e-01		
1.3600000e+02	-8.6802632e-01		
1.3700000e+02	-8.6977577e-01		
1.3800000e+02	-8.7034798e-01		
1.3900000e+02	-8.6974144e-01		
1.4000000e+02	-8.6795658e-01		
1.4100000e+02	-8.6499608e-01		
1.4200000e+02	-8.6086446e-01		
1.4300000e+02	-8.5556877e-01		
1.4400000e+02	-8.4911811e-01		
1.4500000e+02	-8.4152424e-01		
1.4600000e+02	-8.3280128e-01		
1.4700000e+02	-8.2296634e-01		
1.4800000e+02	-8.1203920e-01		
1.4900000e+02	-8.0004323e-01		
1.5000000e+02	-7.8700519e-01		
1.5100000e+02	-7.7295607e-01		
1.5200000e+02	-7.5793171e-01		
1.5300000e+02	-7.4197352e-01		
1.5400000e+02	-7.2512960e-01		
1.5500000e+02	-7.0745665e-01		
1.5600000e+02	-6.8902159e-01		
1.5700000e+02	-6.6990507e-01		
1.5800000e+02	-6.5020531e-01		
1.5900000e+02	-6.3004428e-01		
1.6000000e+02	-6.0957599e-01		
1.6100000e+02	-5.8899951e-01		
1.6200000e+02	-5.6857711e-01		
1.6300000e+02	-5.4866236e-01		
1.6400000e+02	-5.2974272e-01		
