Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.7000000e+01	-4.1753748e-01	END	END
-1.6000000e+01	-4.1606504e-01	END	END
-1.5000000e+01	-4.2141095e-01	END	END
-1.4000000e+01	-4.3753624e-01	END	END
-1.3000000e+01	-4.7059646e-01	END	END
-1.2000000e+01	-5.2945149e-01	END	END
-1.1000000e+01	-6.2381190e-01	END	END
-1.0000000e+01	-7.5378543e-01	END	END
-9.0000000e+00	-8.8540971e-01	END	END
-8.0000000e+00	-9.4396281e-01	END	END
-7.0000000e+00	-8.8417131e-01	END	END
-6.0000000e+00	-7.4311709e-01	END	END
-5.0000000e+00	-5.7662642e-01	END	END
-4.0000000e+00	-3.7040001e-01	END	END
-3.5000000e+00	-3.1729999e-01	END	END
-3.0000000e+00	-2.2810000e-01	END	END
-2.5000000e+00	-1.4579999e-01	END	END
-2.0000000e+00	-6.3400000e-02	END	END
-1.5000000e+00	1.3200000e-02	END	END
-1.0000000e+00	8.2900003e-02	END	END
-5.0000000e-01	1.7700000e-01	END	END
0.0000000e+00	2.6750001e-01	END	END
5.0000000e-01	3.2820001e-01	END	END
1.0000000e+00	3.9660001e-01	END	END
1.5000000e+00	4.6709999e-01	END	END
2.0000000e+00	5.3719997e-01	END	END
2.5000000e+00	6.0780001e-01	END	END
3.0000000e+00	6.7809999e-01	END	END
3.5000000e+00	7.3189998e-01	END	END
4.0000000e+00	8.0010003e-01	END	END
4.5000000e+00	8.5130000e-01	END	END
5.0000000e+00	9.0259999e-01	END	END
5.5000000e+00	9.5810002e-01	END	END
6.0000000e+00	1.0046000e+00	END	END
6.5000000e+00	1.0576000e+00	END	END
7.0000000e+00	1.1004000e+00	END	END
7.5000000e+00	1.1464000e+00	END	END
8.0000000e+00	1.1891000e+00	END	END
8.5000000e+00	1.2319000e+00	END	END
9.0000000e+00	1.2754000e+00	END	END
9.5000000e+00	1.3090000e+00	END	END
1.0000000e+01	1.3351001e+00	END	END
1.0500000e+01	1.3487000e+00	END	END
1.1000000e+01	1.3688000e+00	END	END
1.1500000e+01	1.3755000e+00	END	END
1.2000000e+01	1.3799000e+00	END	END
1.2500000e+01	1.3812000e+00	END	END
1.3000000e+01	1.3731000e+00	END	END
1.3500000e+01	1.3494999e+00	END	END
1.4000000e+01	1.3197000e+00	END	END
1.4500000e+01	1.3033000e+00	END	END
1.5000000e+01	1.2789000e+00	END	END
1.5500000e+01	1.2548000e+00	END	END
1.6000000e+01	1.2237000e+00	END	END
1.6500000e+01	1.1138000e+00	END	END
1.7000000e+01	1.0084000e+00	END	END
1.7500000e+01	9.8989999e-01	END	END
1.8000000e+01	9.5940000e-01	END	END
1.9000000e+01	1.0078000e+00	END	END
1.9500000e+01	1.0030000e+00	END	END
2.0000000e+01	1.3367474e+00	END	END
2.1000000e+01	1.3250175e+00	END	END
2.2000000e+01	1.3141698e+00	END	END
2.3000000e+01	1.3044389e+00	END	END
2.4000000e+01	1.2959582e+00	END	END
2.5000000e+01	1.2887819e+00	END	END
2.6000000e+01	1.2829049e+00	END	END
2.7000000e+01	1.2782784e+00	END	END
2.8000000e+01	1.2748219e+00	END	END
2.9000000e+01	1.2724340e+00	END	END
3.0000000e+01	1.2709988e+00	END	END
3.1000000e+01	1.2703933e+00	END	END
3.2000000e+01	1.2704897e+00	END	END
3.3000000e+01	1.2711605e+00	END	END
3.4000000e+01	1.2722796e+00	END	END
3.5000000e+01	1.2737243e+00	END	END
3.6000000e+01	1.2753763e+00	END	END
3.7000000e+01	1.2771225e+00	END	END
3.8000000e+01	1.2788553e+00	END	END
3.9000000e+01	1.2804730e+00	END	END
4.0000000e+01	1.2818794e+00	END	END
4.1000000e+01	1.2829845e+00	END	END
4.2000000e+01	1.2837037e+00	END	END
4.3000000e+01	1.2839578e+00	END	END
4.4000000e+01	1.2836734e+00	END	END
4.5000000e+01	1.2827817e+00	END	END
4.6000000e+01	1.2812194e+00	END	END
4.7000000e+01	1.2789272e+00	END	END
4.8000000e+01	1.2758511e+00	END	END
4.9000000e+01	1.2719409e+00	END	END
5.0000000e+01	1.2671511e+00	END	END
